LIMO compound,LIMO docked affinity,Closest REAL compound,REAL docked affinity,Compound similarity,Similarity
O=C(C1=CC(N)=CC=C1NC(=O)C2=CC=CC=C2)C3CCCC(C(C(=O)(N)))=3,4.66493124242965e-10,O=C(Nc1c(NC(=O)c2ccccc2)cccc1)c3ccc(cc3)CC(=O)N,2.5905820570601723e-08,0.444,0.4807692307692308
O=C(CC1=CC=CC=C1)NCC=CC2=C(C(=O)N)C(=O)CC(=C2)CCCC(=O)(N),4.8250892251248e-10,O=C(NCCC(=O)NCC=CCNC(=O)CCCCC(=O)N)Cc1ccccc1,9.828140844988805e-08,0.508,0.5172413793103449
C=C(N)C1=CC=CC=C1CCC2=CC=CC=C2CCC(N)C3CCCCC3,4.90721854116415e-10,O=C(N)c1c(cccc1)CCC(=O)NC(C2CCCCC2)C3CCCCC3,3.2493844409427557e-09,0.436,0.4444444444444444
CCC1=CC=C(C(=C(=N))C(C(=O)(N)))C(O)=C1CC(=O)NC(=O)C2=CC=CC=C2,4.90721854116415e-10,O=C(OCC(=O)NC(=O)c1ccccc1)c2c(O)c(ccc2)CC,3.604834147623914e-07,0.438,0.4262295081967213
C(=O)(CC1=CC=C(C)C=C1)NCC=CC2=C(C(=O)N)C=CC=C2NC(=C)C(=O)CC,5.07569481259313e-10,O=C(N)c1c(NCC(=O)NCC=CCNC(=O)Cc2ccc(cc2)C)cccc1,1.424729742556605e-07,0.565,0.5737704918032787
O=C(CC1=CC=CC=C1)NC(=C)C=CC2=CC3=CC=C(C(C(CC))N)C=C3C=C2,5.07569481259313e-10,O=C(OCC(=O)NC(=O)Cc1ccccc1)C=Cc2cc3c(cc2)cccc3,3.3937368727139225e-08,0.492,0.49206349206349204
O=C(CC1=CC=C(C(=O)N)C=C1)C(=C)C2=CN=NN=C2CC3=CC=CC(C(=O)N)=C3,5.07569481259313e-10,O=C(N)c1cc(ccc1)CC(=O)NCCNC(=O)Cc2ccc(cc2)C(=O)N,5.263316539506193e-08,0.439,0.44642857142857145
O=C(CC1=CC(C(=O)N)=CC=C1)CCC2=CC=CC=C2CC=C(C(=O)O)C3=CCCC=C3,5.07569481259313e-10,O=C(N)c1c(cccc1)CCC(=O)NCC=CCNC(=O)Cc2cc(ccc2)C(=O)N,3.33693783557396e-08,0.392,0.4027777777777778
CC(C(=O)C1=CC=CC=C1)C(=N)CCC(=O)N2CCC3=CC=C(C(=O)N)C=C3C2,5.07569481259313e-10,O=C(OC(C(=O)c1ccccc1)C)CCC(=O)N2Cc3c(cc(OC)c(OC)c3)CC2,7.012459310633414e-08,0.507,0.5074626865671642
O=C(CC1=CC=C(C(=O)C)C=C1)NCC2=CC(N)=CC(C)=C2N3CCCC(C)C3,5.16208976280712e-10,Clc1c(N2CC(CCC2)C)ccc(c1)CNC(=O)Cc3ccc(cc3)C(=O)C,1.8484016003142757e-08,0.612,0.6212121212121212
C1=CC=C(C(=O)(N))C=C1CC(=O)NC(=O)C2=CC3=CC(C(=O)(N))=CC=C3C(=C(N))2,5.16208976280712e-10,O=C(NCC=CCNC(=O)Cc1cc(ccc1)C(=O)N)c2ccc(cc2)C(=O)N,1.1329868277338134e-08,0.483,0.49122807017543857
O=C(C(=C)CC1=CC=CC(C(=C)N)=C1)CCC(C)=C(C(=O)N)C2=CC=C(C(=O)O)C=C2,5.16208976280712e-10,O=C(N)c1cc(ccc1)CC(=O)Nc2ccc(cc2)C(=O)C,3.203132708971498e-07,0.355,0.36065573770491804
C=C(C1=CC=CC=C1)CC2=CC=CC=C2C(C(=O)C)CC3=CC=CC(C(=O)(C(N)))=C3,5.24995526783143e-10,Fc1cc(ccc1)CC(C(=O)OCC(c2ccccc2)=C)C,7.448648416157136e-07,0.375,0.375
CC1=CC=CC=C1C(=O)NC=CC2=CC=C(C)N=C2CC(=O)CC3=CC(C(=O)O)=CC=C3,5.61662988575448e-10,O=C(NNC(=O)c1cc(ccc1)CNc2nc(cc(n2)C)C)c3c(cccc3)C,5.352905056385263e-08,0.414,0.42028985507246375
C(C(=O)(N))=CC1=CC=CC=C1CC(=C)C2=C(C)C3=CC=C(C(=O)(N))C=C3C(=O)2,5.61662988575448e-10,[O-]C(=O)C=Cc1c(c2c(ccc(c2)C(=O)N)C)cccc1,2.3243630655657442e-07,0.419,0.41935483870967744
O=C(CC1=CC(C(N))=CC=C1)C(C)C2=CC=CC=C2CC3=CC=C(N)C(C(=O)N)=C3,5.61662988575448e-10,O=C(N)c1c(cccc1)CC(=O)NC(C(=O)Cc2ccccc2)C,5.9233834234292066e-08,0.375,0.38095238095238093
O=C(C1=CC=C(C(=O)C)C=C1)NC2=NN=C(N)CN2C=CC3=CC=CC(C(C(=O)(N)))=C3,5.71223225691086e-10,O=C(Nc1cc(NC(=O)c2ccc(cc2)CC(=O)N)ccc1)c3ccc(cc3)C(=O)C,6.779696498481721e-08,0.46,0.4918032786885246
C(C(=O)(N))#CC1=CC=C(C(=O)C(C(C(=O)N)))C=C1CC(=O)C2=CC3=CC=CC=C3C2,5.80946190519904e-10,O=C(N1CCN(C(=O)CCC(=O)N)CC1)C2=Cc3c(cccc3)C2,1.0338595034593205e-07,0.429,0.4262295081967213
O=C(CC1=CC=CC=C1)NCC=CC2=C(C(=C(N))N)C=CC=C2CC(=O)CCC,5.90834652899958e-10,O=C(NCC=CCNC(=O)CCNC(=O)Cc1ccccc1)c2c(N)c(ccc2)CC,4.01771083005885e-08,0.485,0.5
O=C(CC1=CC=CC=C1)C(=C)C2=CC=CC=C2CC3=CCCC(C(=O)C(=O)(N))=C3,5.90834652899958e-10,O=C(N1CCN(C(=O)C2=CCC2)CC1)c3c(cccc3)Cc4ccccc4,4.155648224664381e-08,0.393,0.4406779661016949
O=C(C1=CC(N)=CN=C1NC(=O)C2=CC=C(C(=O)O)C2)CCCC3CCCCC3,5.90834652899958e-10,O=C(OC)c1c(ncc(C#N)c1)NC(=O)CCCC2CCCCC2,3.5445020958727777e-07,0.4,0.43661971830985913
CC1=CC=C(N)C=C1CC2=CC=CC=C2CCC(C)CC3=C(N)C(N)=CC=C3,6.00891429815573e-10,Fc1c(cccc1)CCC([NH2+]Cc2c(ccc(N)c2)C)C,1.866436868034807e-07,0.439,0.43859649122807015
O=C(CCC1=CC=CC2=C1C=C(C(=O)N)C=C(N)2)NC3=CC(=N)CCC3,6.11119386199814e-10,O=C(N)c1cncc(c1)C=2N=NN(c3c(cccc3)CCC(=O)Nc4cc5c(cc4)CCC5)C2,1.8616987965412166e-09,0.322,0.3218390804597701
O=C(CC1=C(C)C2=CC=CC=C2C(=O)1)NC=CC3=CC4=CC(C(=O)C)=CC=C4N3,6.11119386199814e-10,O=C1OC(C(=O)NCC=CCNC(=O)C=2Nc3c(cc(cc3)C)C2)=C(c4c1cccc4)C,2.887292219440181e-09,0.329,0.26506024096385544
O=C(CC1=CC(N)=CC=C1)C(C)C2=CC=CC=C2CC3=CC=C(N)C(C(=O)N)=C3,6.11119386199814e-10,O=C(N)c1c(cccc1)CC(=O)N(Cc2cc(N)ccc2)C,1.5242376825949801e-07,0.443,0.4426229508196721
O=C(CCC1=CC=CC=C(N)1)NCC2CC(=O)C3=CC=CC(C(=C)N)=C3C=2,6.21521435750654e-10,O=C(NCc1c(c2ccccc2)cccc1)CCc3c(N)cccc3,1.1718849111824172e-08,0.492,0.5
O=C(CC1=CC=CC=C1)NCC=CC2=C(C(=O)O)C=CC(=C2)CC(=O)CCC(N)C,6.32100541761001e-10,O=C(NCC=CCNC(=O)CCNC(=O)Cc1ccccc1)Cc2ccc(cc2)C(C)C,3.451502703596816e-08,0.446,0.46774193548387094
CCC(N)C1=CC=CC(C(=O)C)=C1CCNC(=O)CC2=CC3=CC=CC=C3S2,6.42859717962888e-10,S1c2c(cccc2)C=C1CC(=O)NCCNC(=O)c3c(cccc3)C(=O)C,1.0514571415418939e-07,0.6,0.6
O=C(N)C1=CC=CC=C1CCC2=CC=CC=C2C(=C)C(C3)CCC(C(=C(C(=O)(N)))N)C3,6.42859717962888e-10,O=C(N)c1c(cccc1)CCC(=O)N2CCN(C(=O)C=C(C3CC3)C4CC4)CC2,1.2537333137184442e-08,0.474,0.48214285714285715
CCC1=CC(N)=C(C(=O)N)C=C1CC(=O)C=C(C(=O)NC)C2=CC=C(C)C=C2,6.42859717962888e-10,Fc1c(cc(N)c(c1)C(=O)NCC=CCNC(=O)c2ccc(cc2)C)CC,1.1833192542966173e-07,0.415,0.40625
CC1=C(C(=C)N)C=CC=C1CCC=C(CCNC(=O)C(N))CC2=CC=CC=C2C,6.42859717962888e-10,O=C(NCCNC(=O)Cc1c(cccc1)C)c2c(c(ccc2)C(=O)N)C,3.1721810293620355e-08,0.446,0.453125
CN(C1=CC=C(C(=C)N)C=C1)C(=O)C2=CC=CC=C2C=CC3=CCCC(C)=C3,6.5380202938598e-10,O=C(N(c1ccc(cc1)C(=O)N)C)c2c(c3c(cccc3)C)cccc2,2.0453924147377183e-08,0.393,0.4032258064516129
O=C(CC1=CC=CC=C1)NCC2=CC=CC=C2CC(=C(=O))CC3=CC(=O)CC=C3,6.5380202938598e-10,O=C(NCCNC(=O)Cc1ccccc1)Cc2c(cccc2)CC#N,9.663652860855617e-08,0.39,0.41379310344827586
CN(CC1=CC(C(=O)(N))=CC=C1)C(=O)CC(C)C2=CC=CC=C2NC3=CC=CC=C3,6.6493059323077e-10,O=C(N)c1cc(ccc1)CN(C(=O)CC(c2c(cccc2)C)C)C,4.298321332126153e-08,0.709,0.7090909090909091
CC(N)(C)C1=CC=CC=C1CCCCC2=CC=CC=C2NC3=C(N)C=CCC3,6.6493059323077e-10,O=C(Nc1c(cccc1)CCC[NH3+])c2c(cccc2)C(C)(C)C,4.4458927405249594e-08,0.333,0.3225806451612903
O=C(NCC1=CC(N)=CC=C1)CC2=C(C(=O)C(N))C(=C)CC3=CC=CC=C23,6.6493059323077e-10,O=C(NCc1cc(N)ccc1)CC2=Cc3c(cccc3)C2,5.7267700354556634e-08,0.516,0.5245901639344263
CC1=CC=CC=C1CC(N)=CC(=O)CC2=CC(N)=NN=C2C3=CC=CC(C(=O)N)=C3,6.6493059323077e-10,O=C(N)c1cc(ccc1)C=2N=NN(C2)Cc3c(cccc3)C,1.6034035719839377e-07,0.462,0.46875
NC1=CC(C(=O)(N))=CC2=C1CC(=C)C(=O)N2CCC(=O)NC3=NC=CC(C)=C3,6.76248579756553e-10,O=C1N(C(c2c1cccc2)=C)CCC(=O)Nc3nccc(c3)C,1.7445888845670109e-07,0.529,0.5373134328358209
O=C(NC1=CC=CC=C1)C=CC(=O)C2=CC=CC3=C2C=CC=C(C(=C)C(=O)(N))3,6.8775921318459e-10,O=C(Nc1ccccc1)c2c3c(c(N)ccc3)ccc2,4.056912532995847e-07,0.438,0.4375
CC(N)(C)C1=CC=CC=C1CCN(C(=O)C(=O)(N))CCC=CC2=CC=CN=C(N)2,6.8775921318459e-10,O=C(N(CCN(C(=O)C(=O)N)CC)CC)c1c(nccc1)N,2.641382466092204e-06,0.388,0.421875
C(C(=O)N)C1=CC=C(C(=C)C(C(=O)N))C=C1CC(=O)C2=CC3=CC=CC=C3C2,6.8775921318459e-10,O=C(Nc1c(cccc1)CC(=O)N)C2=Cc3c(cccc3)C2,7.629930967206321e-08,0.483,0.5087719298245614
C(=O)(CC1=CC=CC(C(=C)N)=C1C)CC=CC=CC2=CC=CC(C(=O)(N))=C2,6.8775921318459e-10,O=C(NCC=CCNC(=O)Cc1cc(ccc1)C(=O)N)c2c(c(ccc2)CO)C,2.6346771447493833e-08,0.394,0.4057971014492754
CC(N)(C)C1=CC=CC=C1CCC(=C(C))CC=C(C)C2=CC=C(C)C=C2,6.8775921318459e-10,FC(F)(F)c1c(cccc1)CCNC(=O)c2ccc(cc2)C,5.782647411208766e-07,0.35,0.3559322033898305
O=C(C(N)=CC1=CC=CC=C1)CC=C(C(=O)N)CC=CC2=CC(C(=O)N)=CC=C2,6.8775921318459e-10,O=C(N)c1cc(NC(=O)C(=Cc2ccccc2)CC)ccc1,7.376672572429296e-08,0.424,0.423728813559322
C(C(=O)N)=C(NC1=CC=CC=C1)C(=O)C2=CCC=C2CC3=CC=CC(C(=O)N)=C3,6.8775921318459e-10,O=C(Nc1ccccc1)NCc2cc(ccc2)C(=O)N,4.125966479155306e-07,0.466,0.47368421052631576
O=C(CCC1=CC=CC=C1)NCC=2C(=O)CC3=CC=CC(C(=C(N))N)=C3C=2,6.99465772616584e-10,O=C(NCC=CCNC(=O)CCc1ccccc1)c2c3c(ccc2)CCC3=O,2.5472249636873493e-08,0.448,0.46153846153846156
O=C(C1=CC=CC(N)=C1)NC2=CC=CC=C2C=CC3=C(C(=O)N)CCC(C(=O))=C3,6.99465772616584e-10,ClC1=C(C(=O)Nc2cc(NC(=O)c3cc(N)ccc3)ccc2)CC1,1.1833192542966173e-07,0.406,0.4126984126984127
O=C(CC1=CC(C(=O)N)=CC=C1)C=CC=C2C=CC=C(C(C(C(=O)N)))C2=C,7.11371592968838e-10,O=C(N)c1cc(ccc1)CC(=O)Nc2cc(ccc2)CCC(=O)N,1.7277310266162335e-08,0.422,0.45
CC1=CC=C(C(=O)N)C=C1NC(=O)CC=C2C(C(=O)C)=C(N)C=C2CCCCC,7.11371592968838e-10,O=C(N)c1cc(NC(=O)CCCCCCCC)c(cc1)C,5.225723265577915e-07,0.533,0.5333333333333333
